 set stimuli {{  Vds 0.601593 Vgs 0.879793 Vbs -0.316578 l 5.01572e-07 w 2.52317e-06 Mult 2  }
{  Vds 0.602036 Vgs 0.824987 Vbs -0.231906 l 1.06327e-07 w 2.51103e-07 Mult 1  }
{  Vds 0.605748 Vgs 0.699381 Vbs -0.19492 l 2.1861e-06 w 1.8863e-07 Mult 1  }
{  Vds 0.606647 Vgs 0.817571 Vbs -0.13804 l 4.48594e-08 w 1.93978e-07 Mult 1  }
{  Vds 0.607182 Vgs 0.810237 Vbs -0.300822 l 5.12311e-08 w 1.54294e-07 Mult 1  }
{  Vds 0.60738 Vgs 0.640933 Vbs -0.298764 l 4.9046e-08 w 2.26864e-07 Mult 1  }
{  Vds 0.607458 Vgs 0.95361 Vbs -0.0846051 l 3.99361e-08 w 3.878e-07 Mult 1  }
{  Vds 0.610235 Vgs 0.611278 Vbs -0.0283194 l 8.27421e-08 w 8.2625e-07 Mult 618  }
{  Vds 0.610349 Vgs 1.02762 Vbs -0.324126 l 5.19643e-08 w 3.47811e-07 Mult 2  }
{  Vds 0.611177 Vgs 0.95296 Vbs -0.134954 l 9.23385e-08 w 1.89473e-07 Mult 1  }
{  Vds 0.611673 Vgs 0.787081 Vbs -0.178002 l 7.59255e-07 w 7.52411e-06 Mult 84  }
{  Vds 0.612058 Vgs 0.764251 Vbs -0.0404177 l 4.54557e-07 w 2.02694e-07 Mult 1  }
{  Vds 0.615111 Vgs 1.07118 Vbs -0.0861577 l 1.21994e-07 w 6.814e-07 Mult 1  }
{  Vds 0.615463 Vgs 0.982551 Vbs -0.0192881 l 6.46193e-08 w 4.02464e-07 Mult 2  }
{  Vds 0.616459 Vgs 0.720435 Vbs -0.0981296 l 3.45065e-07 w 1.57396e-06 Mult 1  }
{  Vds 0.617281 Vgs 1.03677 Vbs -0.157064 l 4.78482e-08 w 4.27942e-07 Mult 2  }
{  Vds 0.618848 Vgs 0.875176 Vbs -0.25146 l 1.86728e-05 w 0.000151067 Mult 5  }
{  Vds 0.619966 Vgs 0.671853 Vbs -0.0882419 l 8.27063e-07 w 1.48379e-07 Mult 1  }
{  Vds 0.620213 Vgs 0.821711 Vbs -0.195527 l 1.18837e-06 w 6.38518e-07 Mult 1  }
{  Vds 0.623252 Vgs 0.902333 Vbs -0.210457 l 1.96118e-05 w 6.00605e-07 Mult 1  }
{  Vds 0.62602 Vgs 0.919791 Vbs -0.154518 l 5.95636e-07 w 4.63739e-07 Mult 1  }
{  Vds 0.629244 Vgs 0.600137 Vbs -0.204876 l 1.69687e-07 w 8.202e-07 Mult 1  }
{  Vds 0.630547 Vgs 1.01014 Vbs -0.151452 l 1.46774e-07 w 2.5082e-07 Mult 1  }
{  Vds 0.632314 Vgs 0.697574 Vbs -0.284381 l 4.77431e-08 w 3.8671e-07 Mult 2  }
{  Vds 0.634788 Vgs 0.77765 Vbs -0.171208 l 3.34296e-07 w 3.31269e-06 Mult 86  }
{  Vds 0.639113 Vgs 0.973092 Vbs -0.0370226 l 3.79143e-07 w 3.77511e-06 Mult 219  }
{  Vds 0.641052 Vgs 1.06462 Vbs -0.259135 l 8.09011e-08 w 2.91381e-07 Mult 1  }
{  Vds 0.64138 Vgs 1.07945 Vbs -0.0228765 l 4.2267e-06 w 7.56927e-07 Mult 1  }
{  Vds 0.642359 Vgs 1.02446 Vbs -0.293249 l 8.53821e-07 w 7.66823e-07 Mult 1  }
