set stimuli {
{ Vds 0.500354 Vgs 1.2464 Vbs -0.424673 l 5.13161e-07 w 9.97277e-06 }
{ Vds 0.502305 Vgs 1.54832 Vbs -0.0764403 l 4.04627e-07 w 8.45907e-06 }
{ Vds 0.502345 Vgs 0.920156 Vbs -0.527213 l 6.39463e-07 w 5.61388e-06 }
{ Vds 0.502667 Vgs 1.12625 Vbs -0.242197 l 1.98487e-05 w 2.38489e-06 }
{ Vds 0.513496 Vgs 1.12771 Vbs -0.166288 l 9.09893e-06 w 1.66705e-06 }
{ Vds 0.521355 Vgs 0.609042 Vbs -0.403256 l 2.17574e-06 w 6.06888e-06 }
{ Vds 0.535601 Vgs 0.84073 Vbs -0.0642418 l 4.00558e-07 w 9.7217e-05 }
{ Vds 0.558047 Vgs 1.09506 Vbs -0.0959521 l 1.2593e-05 w 8.89923e-07 }
{ Vds 0.565587 Vgs 1.72147 Vbs -0.420876 l 4.90187e-07 w 0.000537426 }
{ Vds 0.577107 Vgs 1.64313 Vbs -0.496657 l 6.01792e-06 w 4.09006e-07 }
{ Vds 0.58254 Vgs 0.653957 Vbs -0.228919 l 4.38336e-07 w 3.94418e-06 }
{ Vds 0.599419 Vgs 0.938839 Vbs -0.275537 l 3.43446e-06 w 8.99462e-07 }
{ Vds 0.615644 Vgs 0.63093 Vbs -0.391458 l 4.42324e-07 w 1.03949e-06 }
{ Vds 0.623345 Vgs 1.36056 Vbs -0.395875 l 7.89068e-06 w 8.07001e-07 }
{ Vds 0.651522 Vgs 1.73835 Vbs -0.506987 l 3.53635e-07 w 4.0061e-07 }
{ Vds 0.666619 Vgs 0.672124 Vbs -0.159425 l 4.31077e-07 w 1.698e-06 }
{ Vds 0.67667 Vgs 0.584992 Vbs -0.43957 l 2.28995e-07 w 7.31201e-07 }
{ Vds 0.686548 Vgs 1.51284 Vbs -0.257904 l 1.12977e-06 w 1.08097e-06 }
{ Vds 0.69941 Vgs 0.581872 Vbs -0.260985 l 7.35053e-06 w 0.000731985 }
{ Vds 0.700452 Vgs 1.19651 Vbs -0.425065 l 2.41257e-07 w 0.000303798 }
{ Vds 0.70829 Vgs 1.63288 Vbs -0.236131 l 5.96463e-07 w 8.08612e-05 }
{ Vds 0.71246 Vgs 1.51982 Vbs -0.347284 l 3.05456e-06 w 5.01465e-07 }
{ Vds 0.754116 Vgs 0.920225 Vbs -0.466942 l 8.50413e-07 w 0.000382119 }
{ Vds 0.764873 Vgs 1.02742 Vbs -0.370994 l 9.79528e-06 w 1.29435e-06 }
{ Vds 0.766864 Vgs 0.683939 Vbs -0.0280273 l 1.15276e-05 w 2.05566e-06 }
{ Vds 0.772439 Vgs 0.789333 Vbs -0.341399 l 1.02933e-06 w 2.47325e-07 }
{ Vds 0.777013 Vgs 0.95203 Vbs -0.0317682 l 6.65007e-07 w 8.33457e-06 }
{ Vds 0.784008 Vgs 1.52445 Vbs -0.331199 l 1.01255e-06 w 3.39337e-07 }
{ Vds 0.792154 Vgs 0.63911 Vbs -0.255436 l 8.71746e-06 w 8.45074e-07 }
{ Vds 0.800257 Vgs 1.61217 Vbs -0.364441 l 3.36997e-07 w 4.35697e-07 }
{ Vds 0.827977 Vgs 0.81259 Vbs -0.165914 l 1.82958e-05 w 7.36245e-07 }
{ Vds 0.832131 Vgs 1.72306 Vbs -0.127856 l 1.41941e-05 w 7.37912e-07 }
{ Vds 0.834146 Vgs 1.79142 Vbs -0.0646772 l 5.55287e-07 w 5.05953e-06 }
{ Vds 0.848716 Vgs 0.965182 Vbs -0.0441608 l 2.27208e-07 w 3.507e-07 }
{ Vds 0.867136 Vgs 1.14817 Vbs -0.485676 l 3.78303e-06 w 7.00761e-07 }
